image,reading,eating,medical activity,studying,socializing,working,camping,gaming,hiking,conducting business,cleaning,bathing,climbing,research,touring,training,playing,farming,boating,waiting in line,praying,congregating,constructing,sunbathing,using tools,swimming,diving,digging,shopping,spectating,biking,exercise,competing,transporting,driving,sports
bedroom__0.png,0.44888241333131146,0.31723325651185014,0.2874992369545946,0.28716167021424704,0.2851358668502683,0.2841035645847864,0.2837118381022243,0.283336843300037,0.2807710888064331,0.28058765611178627,0.27616826210005696,0.2701526488445179,0.266638490582924,0.2651074770914544,0.2611840569505175,0.25906766156810446,0.2576795216617801,0.25759784505901967,0.25227481116169886,0.2519864698141048,0.24914486799262936,0.24885546381253043,0.2446807463750172,0.24429240204676123,0.24309327710476558,0.24146995842997107,0.24134644719380557,0.24036769939819286,0.2312327195810449,0.23103615950960846,0.22743413190203485,0.22253750431472713,0.21546667058849886,0.21168084809795187,0.20952846179815557,0.1987038926924191
bedroom__1.png,0.46068958300309193,0.24391270135853885,0.27685990750422107,0.23556410560868377,0.2007259653375527,0.2323701102802367,0.23604028440124317,0.26024339911437094,0.23906711688618923,0.23877660856900348,0.25117072145383457,0.2501011918444482,0.2590129794555975,0.22713029843842625,0.25017155584634415,0.22434176864323452,0.2564916521563329,0.228841130255802,0.21389745732615367,0.2214595103638823,0.2180526675135768,0.19481341273272576,0.21255915605316858,0.21383261167537698,0.21455018948139343,0.19663798282110292,0.20436099975730376,0.2252979588661385,0.19116528382024225,0.19834345824452462,0.19251706173132765,0.19303070573424355,0.2009553894436539,0.19800790317010575,0.1808185625376923,0.18772412706970193
bedroom__10.png,0.41606949200350274,0.2612958881262564,0.3099512895331087,0.24538095498180107,0.1995119952984306,0.2207451613758655,0.2644330396681707,0.2561436489817558,0.2563438773116388,0.24584109688717692,0.28838658207901846,0.28208226770619277,0.27239859950335266,0.24267946477393668,0.26228231762637166,0.22819823095592115,0.28604747374618955,0.23598779561528682,0.24114578056984337,0.2309468813777092,0.21730932951486492,0.1910770369993592,0.24173499212995378,0.25724151014420393,0.23427538416896032,0.23135472801516924,0.24841865778922534,0.23183076321343715,0.22371211224401735,0.22623546023294658,0.22977549162297123,0.25852604141693775,0.2616014078207473,0.22451697961816428,0.21314341625594158,0.2520651183954678
bedroom__100.png,0.45837208464502993,0.27727398582089396,0.29843533878187606,0.28749251249799523,0.2500972785667024,0.32024387888347544,0.2460070872372008,0.27253113486574465,0.23200172313185535,0.29004176305219337,0.268934188964321,0.24393630925839688,0.23806498085790634,0.2740751507360346,0.24483963775198905,0.2680069612014937,0.2709194752647555,0.23790915662272893,0.22249184672403607,0.25730510956906394,0.23253518049746746,0.22927108010008235,0.24272426120806462,0.23433676884029608,0.2414547689187726,0.20996341280697953,0.2180028965186211,0.2349951764940212,0.22243107193196388,0.2164128236486603,0.26095433406888396,0.24059485855183646,0.2466066574844993,0.3008682366105552,0.278700372036185,0.22334920351857857
bedroom__101.png,0.4237086363076485,0.2795011595761152,0.29099966052465,0.28825104222159126,0.25888896917915666,0.318977242157446,0.24327268496500057,0.2698262338928598,0.2525303333073395,0.2678698928463917,0.2612056901577158,0.25662662540202463,0.2655966342916243,0.2689587331396565,0.272799013905034,0.2935628609079411,0.2685336452312869,0.23331618315346458,0.22443368924789678,0.24429209040216174,0.2349435895651485,0.2635359739359436,0.26002247355202823,0.2540569277143228,0.29555026862828565,0.22553906812439337,0.22673233755098332,0.2618459662155247,0.20131718754171812,0.251891208520537,0.21779649354835678,0.26082989557196,0.2766772226187317,0.24589902387361678,0.21808663075407472,0.25963646879499075
bedroom__102.png,0.5276735373388411,0.3278230472937805,0.281697932171028,0.3060660559634849,0.2730172504890034,0.29085656162782847,0.2604339614209291,0.2854033014099767,0.270988282275205,0.29176902410156025,0.2818025503204287,0.28040888038204104,0.3014392360029358,0.27969572164588835,0.2879702191896623,0.27851251424402773,0.27806233119079016,0.25092620670879534,0.271712148108291,0.2616086701868787,0.2605571565604459,0.261685639053604,0.2734415982124292,0.2787417598045639,0.27424393240665534,0.2641160492560506,0.26710105278335905,0.2815349712056947,0.22913926666166573,0.2496412267591263,0.2276293891885468,0.24435881954124625,0.24825988987028874,0.2306267304052071,0.21150247588815732,0.2309010721559717
bedroom__103.png,0.4621478056869131,0.3419956324795291,0.29160412993471585,0.2622855888430942,0.26663709893592447,0.2689295191945728,0.2553519749496675,0.2851419205272303,0.26028701132342086,0.2747375752149472,0.2914069317202594,0.29716207411285883,0.2793693574910644,0.25718781310487626,0.2982279728087271,0.26615079421806104,0.27982131942568095,0.2610834104351429,0.2501590251931199,0.2646431357999008,0.2535380073057384,0.2604268575487682,0.2762965213687897,0.2782445696915674,0.27249756705000333,0.2558621599861333,0.26250127051149724,0.29635755491100474,0.233000916280856,0.25286609915295893,0.2567217952277196,0.24213714932463154,0.2379111455042529,0.27146632772117474,0.24735528076836033,0.22356557299800114
bedroom__104.png,0.5771833223820739,0.3518558279078779,0.25335167762687355,0.282375618177169,0.2796220779236197,0.20259148672046146,0.2621840151204072,0.27111154074723587,0.23762463049594063,0.2559003477576737,0.24532572656406876,0.2559860761265997,0.22573502367977163,0.23154030954885726,0.26904775728990876,0.2661813740512885,0.31373967688894033,0.25544843823920316,0.206647271001684,0.22400473955942163,0.27714075402087673,0.2671277341568601,0.23260707884712456,0.2579609978189796,0.21074509044620612,0.21932512363298634,0.2284980752696437,0.22031607886015356,0.18707067636584365,0.2212916208857561,0.2210397962624526,0.23285956305178762,0.2232547062588892,0.19616070571294034,0.20137024468022083,0.2063223256418942
bedroom__105.png,0.45111930237746756,0.2843654787080392,0.3044731045738099,0.29051946625599456,0.2420137856999736,0.3456537503934644,0.2313471181895092,0.2711382042168983,0.23241729140360676,0.2709406665206302,0.264165510726729,0.25446033858173694,0.2475819723351154,0.2847101796314743,0.27161407433595997,0.27795425571187715,0.261943718355892,0.22290420315614756,0.24256299256657768,0.24828153617415916,0.2290891993522119,0.22350371173046896,0.25478428064458175,0.24288999399839123,0.2888111237003486,0.219679281746195,0.23073339201567894,0.24643691058929093,0.23111211611944737,0.21054356396180707,0.23647897352091113,0.2378126400449464,0.23642173505207018,0.2710897292513353,0.23517041235886352,0.22085602933240964
bedroom__106.png,0.43184610349343067,0.28261415047773286,0.28143248549495914,0.2619683567187232,0.2412379604071019,0.24265037004887494,0.25168827346878886,0.26133196279055354,0.24636516933823074,0.25970287516912527,0.2749276255278117,0.25802455301359495,0.2402936711742479,0.24736566585206665,0.23295571341451315,0.2565867614143264,0.25342496818361226,0.23018851777834826,0.23761745359239514,0.24644452569264197,0.21303039041150235,0.2521084526640189,0.24653593070485763,0.24747353920212367,0.2386676954849575,0.22463632834730296,0.22614175719294358,0.23693275913822004,0.19705382591960002,0.25862781029091,0.23564578245325335,0.25033968706519566,0.2591429323380655,0.2699024433756358,0.2349658446157915,0.24203343732158653
