image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__0.png,0.10322418442120672,0.7511082836147768,0.45951244638480404,0.09509354049864013,0.19001767665753164,0.2455612153783483,-2.623679660870999,0.027965298645476602,4.344435855042109,4.391809070377701,232.36491550043604,7.485701217255966,1.5791656133126537
bedroom__1.png,0.33890819936974514,0.19544942888551,0.46048965992647073,0.3156119232835772,0.2114695892366917,0.1799829659391,-2.588536926157409,0.01152963089189481,3.8550903216741443,4.054313504273331,288.81324214128097,7.297763171973864,1.6983706410370458
bedroom__10.png,0.38344272288530384,0.14453544721554182,0.8186408164828431,0.3340168812432582,0.1934646155040974,0.11868096694765329,-2.5837916025824685,0.008922766615864062,4.0264109099514265,4.153596888428996,205.00592877490794,7.030164778946347,1.9225123278396477
bedroom__100.png,0.39746959198283627,0.13997485834637685,0.5784077563316994,0.3614244961295141,0.1630660868838547,0.19978537460278006,-2.8971718490479663,0.006114376897780466,4.232615052812477,4.3362710632872075,248.79669194931756,7.3319849071703285,1.8549922142831505
bedroom__101.png,0.28560807871587385,0.3630630459800578,0.6009321129493463,0.33332228887193277,0.20664968690436164,0.2292835316424132,-2.8452225354046794,0.008741262311883524,3.8120666694390946,4.108838574993698,409.05805908073273,7.451529222176544,1.8577731049545416
bedroom__102.png,0.3134430754792524,0.2160352101736102,0.5623060917075164,0.3378828868155989,0.1944361691573283,0.27027421827085085,-2.904149503681903,0.026287575029595684,4.295910594284571,4.368033784357571,306.14372902483865,7.506718221803638,1.8137557277065937
bedroom__103.png,0.17580264921675545,0.13220299491298754,0.6226521650326798,0.20731960098057098,0.10650091272570616,0.21354708366071723,-2.7610729596798342,0.006418841066238741,3.9955069119472926,4.2341177414868545,286.96882006060787,7.002516380324534,1.8789641192632534
bedroom__104.png,0.19070237823600458,0.21640226429865264,0.6425716911764706,0.19659549470004964,0.2112362163251005,0.19745193907584374,-2.9335115370177998,0.013315135845424672,4.053814904397889,4.304477883755515,314.17819588715247,7.404088266417408,1.8586176085633384
bedroom__105.png,0.39048698497793816,0.16094461123618942,0.5940481004901961,0.25479910034798153,0.23549724831056262,0.2879874590837057,-2.676824335794844,0.005598315448776675,4.3221311388913985,4.3682814416514555,269.5675440450202,7.81247255307341,1.8282512510380353
bedroom__106.png,0.1245425790893152,0.38985280782124176,0.5287374514910131,0.15027261170585848,0.23386499548021453,0.26088650734864915,-2.96298646506248,0.008753554913354444,3.538382680971004,3.894938570292498,471.4403702596942,7.750993902615685,1.7408960343922288
