image,enclosed area,no horizon,far-away horizon,open area,semi-enclosed area
bedroom__0.png,0.8301784848660216,0.7189362159834258,0.2599147471950244,0.22598999302055142,0.21067467297084247
bedroom__1.png,0.7717614637091907,0.7145282373204987,0.20701525143554134,0.2383189999316302,0.2137457780098341
bedroom__10.png,0.7033549086672201,0.6487961927504818,0.2765854713792926,0.2775587275525938,0.25697238292017355
bedroom__100.png,0.7905371090084131,0.683520637439984,0.2635743007583336,0.25375736951695044,0.243003755267923
bedroom__101.png,0.7035197553687654,0.6837157622449634,0.24817858844093607,0.334048433516261,0.23980315242045183
bedroom__102.png,0.74498293033879,0.6770419814120641,0.27958074192859733,0.2622715423500701,0.26378726060672547
bedroom__103.png,0.6775518386793776,0.6771799575246534,0.2658129834475944,0.2889357520483534,0.288544278856493
bedroom__104.png,0.7401025305959837,0.7431251877822894,0.20218414819297825,0.2669435507465978,0.27258499351073245
bedroom__105.png,0.7645288996001965,0.6905014436598713,0.2532835678711043,0.2594200463635294,0.23450997866470857
bedroom__106.png,0.7686288561689008,0.6996294374365498,0.2851443882864686,0.24806864094010558,0.2834707916611143
bedroom__107.png,0.804713654568536,0.7075203692493925,0.24414351421275543,0.2633647801882524,0.21649235155842436
bedroom__108.png,0.6763762487802042,0.6588058946493923,0.2726921100237464,0.3106176382545291,0.2653950062593237
bedroom__109.png,0.7379633005778479,0.7331049056043472,0.24855442855204912,0.26485135200064674,0.23521763698144108
bedroom__11.png,0.7829414666918206,0.7597267444787941,0.2079713111559543,0.19601243988016837,0.2662294275863013
bedroom__110.png,0.7189422812330029,0.7294962314170879,0.23902018005445427,0.2908089492893262,0.2205635173555229
bedroom__111.png,0.5971588581760908,0.6552237402574577,0.26463506334526776,0.3573009692556636,0.2524954748830224
bedroom__112.png,0.7907891988595636,0.7256270845754038,0.2592841469807047,0.253358390038796,0.23968812896057942
bedroom__113.png,0.786876746281998,0.6973188338740762,0.2674140766276979,0.2546319972315573,0.2220366495985353
