image,curvature1,orientation1,length1,curvature2,orientation2,length2,curvature3,orientation3,length3,curvature4,orientation4,length4,curvature5,orientation5,length5,curvature6,orientation6,length6,curvature7,orientation7,length7,curvature8,orientation8,length8
bedroom__0.png,3909.95711669232,1348.7517156593,209.611718523163,1289.26000228343,1457.13280341384,557.506381618425,1880.25291922599,682.371965601203,1407.06958815694,1964.30605283288,901.151593275905,2746.39648802394,694.278696420875,3184.20481198538,2889.71937937325,244.569979567433,1160.46279984718,992.46394924119,17.375232977069,612.123208998561,1197.23249506309,0,653.801101218628,0
bedroom__1.png,5018.96064878704,2316.03862220639,222.899180113793,1676.88898305353,1331.08495841316,426.277369735679,1331.4917812114,205.300571164199,1263.26601149059,1064.58874004089,719.099831293342,2127.43109500114,563.160789019335,2530.70420741178,3354.82524158082,331.565776635736,898.946364378964,2605.30110207797,13.3432812520675,1093.73443617357,0,0,905.091008958587,0
bedroom__10.png,6546.0925032203,1578.0430856956,72.82016864012,1364.59847147318,1543.68588311112,570.560926127235,583.462224684977,351.518614220896,1190.75429408671,969.990780155502,570.173871223742,1901.30699629958,436.478808765792,4038.89763726604,3491.5886276326,85.7054273194115,575.682376223476,2097.96335863831,13.6717843808332,311.884801488305,675.005628575445,0,1030.11373077082,0
bedroom__100.png,3999.52091564631,2076.55618224258,262.793868005067,1462.14874095074,1398.49974945572,898.103565841652,1715.90541033993,645.305773239628,2513.17305875621,1764.70800987247,1062.91952341467,3001.99375011364,863.290101904416,2421.82100926814,2383.41743817705,194.426821286145,1018.58743260933,940.518319106374,0,422.396560936752,0,0,953.913768833183,0
bedroom__101.png,5243.84360143746,2905.2075378709,188.259788661498,1489.4487670185,1061.71722130153,459.107906859008,1561.00648452084,114.095571131678,1085.74720808313,1119.68567141824,682.003520071003,2145.06619571503,412.222471890901,3545.50822737853,2165.79200773064,153.125751609014,580.170105352349,3956.0268929507,20.6672521050425,255.693807857545,0,0,855.604009036466,0
bedroom__102.png,4448.26046285688,1794.55360770113,120.672858749348,1325.50207348544,815.800184430134,435.006414715314,1491.10864380713,600.57440985588,1448.54073241092,1718.67119860033,944.642644262276,2984.00781652561,694.894842020068,2847.15094365214,3091.004261828,274.52437744756,944.224359809475,1290.52258053887,47.0384017825853,727.893445856915,630.245335231932,0,1325.16040443205,0
bedroom__103.png,5012.63342993697,2008.49446839429,114.347596965559,2249.7514515265,639.806405840537,363.634688748365,956.673516218272,518.906970748531,923.285233696635,1069.57583965779,414.575002986582,1933.38062076229,409.897956128339,3581.96799670642,2640.32982050639,243.781960247209,822.560114927032,4025.02203932076,57.6858462849088,675.06360862473,0,0,1338.62543177188,0
bedroom__104.png,4393.5679301374,1890.68978807935,215.653791044074,1370.35722617934,797.000955417398,491.029112427347,2212.67743388987,488.64757342377,2035.58273567129,1176.70208787678,908.30416656544,2303.37022771942,633.947156102443,3525.28500108896,3182.77972146707,189.254707114214,572.233064529615,1771.5844116708,23.4934586999529,675.463885559895,0,0,1142.37556533557,0
bedroom__105.png,4725.46289674946,1382.22468355177,149.202694688363,1335.91191759323,2607.76522224329,875.059544723555,1718.37760090757,491.280022332541,2469.83343279125,1208.80245990216,727.25627048036,2276.94581154511,768.569773002441,2480.0134981614,2308.16007119711,242.87535184513,790.419089985329,0,0,770.893763384577,1920.79844505461,0,750.147449860729,0
bedroom__106.png,4525.95379146762,2007.18945668543,90.5196978935416,1594.86742078024,1267.16919114988,242.986922084106,2258.11272208537,150.159979498135,594.475589914667,1014.58077847458,283.270046868827,1895.86220748895,519.259492705562,4550.85427723126,2275.57241664921,87.2257944866343,317.486321929244,3232.3903122448,0,197.71399386067,1668.19285372473,0,1226.15673277654,0
