image,symmetry_lr,symmetry_ud,symmetry_lr_ud
bedroom__0.png,0.33081958823116386,0.22369937463935918,0.20890442998389014
bedroom__1.png,0.2956626847810555,0.18681014320913936,0.2731596211352152
bedroom__10.png,0.35276278940372685,0.3277523058774219,0.252506293589836
bedroom__100.png,0.37537152249255445,0.3275152905012163,0.26617809939816606
bedroom__101.png,0.3762705141981254,0.31051343904908013,0.2683112176428101
bedroom__102.png,0.3942114279570448,0.3106720552628206,0.306399287345011
bedroom__103.png,0.32496283825308503,0.379593663443791,0.263302247630661
bedroom__104.png,0.3712292700026485,0.4139925139101951,0.3448486207283754
bedroom__105.png,0.3060297626598657,0.3196114455864686,0.26634042748287623
bedroom__106.png,0.3505528710522182,0.38733176245680523,0.2857527641763965
bedroom__107.png,0.4165641040488596,0.19784301363566204,0.18112399309166094
bedroom__108.png,0.27110821300323584,0.3255772826728198,0.21156300302461917
bedroom__109.png,0.341470251864499,0.3253204063168912,0.21518754573555177
bedroom__11.png,0.416193784014275,0.3755853372356238,0.3612472000807544
bedroom__110.png,0.47377804322972783,0.2852432517971022,0.2541069075335488
bedroom__111.png,0.5046378861117264,0.28365703663428377,0.2754224665393403
bedroom__112.png,0.3388556726722425,0.30408541352434293,0.24272201238028668
bedroom__113.png,0.26339749625414943,0.2818619286956503,0.2125970240266677
bedroom__114.png,0.32751885643144574,0.2637670933420879,0.20528179407143798
bedroom__115.png,0.3748538131140049,0.3112496074716212,0.2556635340120944
bedroom__116.png,0.42814363396045674,0.3786820417252683,0.31376237732786993
bedroom__117.png,0.30466349486855737,0.31317380159021946,0.24654195954758396
bedroom__118.png,0.2733893045769984,0.2594934573588612,0.20414990963016888
bedroom__119.png,0.4070765753444381,0.37380202455874934,0.34858577738464447
bedroom__12.png,0.2717710373532073,0.29252369223282004,0.22593869010271006
bedroom__120.png,0.3358681533079477,0.30388976455419536,0.2665502509141574
bedroom__121.png,0.35523393065129083,0.34563032484955536,0.29355413157985044
bedroom__122.png,0.3165130331633599,0.2532301426797996,0.23165118104942506
bedroom__123.png,0.3739069949173608,0.3740481106965584,0.3304453516112362
bedroom__124.png,0.3267854212063709,0.3043353865933026,0.24046198176817246
bedroom__125.png,0.4352045486858346,0.2659679980116223,0.24388437893210024
bedroom__126.png,0.37771205624195214,0.27373606472723455,0.22729919548833188
bedroom__127.png,0.47815790280371595,0.28084431305392865,0.2594467683576047
bedroom__128.png,0.4173654917312758,0.23569812066500184,0.22442204291568624
bedroom__129.png,0.35410900950784363,0.3078358690454873,0.25734027944573257
bedroom__13.png,0.5803552854756777,0.3324800281393582,0.3193066454408803
bedroom__130.png,0.37263086276659474,0.2968501280956385,0.24496943534958315
bedroom__131.png,0.4138909893925713,0.26069494427335815,0.23947407721905967
bedroom__132.png,0.3574534570197996,0.30074877327819005,0.3387907034003226
bedroom__133.png,0.2967337084686429,0.37957780925913565,0.26733084966117693
bedroom__134.png,0.27691484604263583,0.2517468879762702,0.2690868166439986
bedroom__135.png,0.28919395834524686,0.24969211925950097,0.2294227316377836
bedroom__136.png,0.28671637928239047,0.311159432947552,0.2842024191577419
bedroom__137.png,0.3879212090463292,0.38429772578324883,0.36193516961757133
bedroom__138.png,0.3135518385350121,0.3325705839946874,0.2862106823079047
bedroom__139.png,0.4231147080806298,0.29931914325757136,0.28740470853547606
bedroom__14.png,0.30430417386823794,0.3145930616202771,0.24937699061754948
bedroom__140.png,0.2992007820158159,0.32801255713581134,0.220327590592588
bedroom__141.png,0.3607535898447657,0.22600993087256482,0.20877724868451364
bedroom__142.png,0.41600182873662606,0.4064356352275461,0.35673109912891554
bedroom__143.png,0.37245294654028005,0.37410148335725224,0.2986010993030439
bedroom__144.png,0.2557577141787435,0.3302783846399767,0.22499636950729962
bedroom__145.png,0.3803245039139923,0.4371628810300404,0.36593719880285425
bedroom__146.png,0.34332785112831166,0.2962390322963716,0.2304515776040691
bedroom__147.png,0.36228410345439976,0.2996614699579294,0.22665056143173
bedroom__148.png,0.3388098131847336,0.29475984211757045,0.24535182434350977
bedroom__149.png,0.3747988789278973,0.3971531160148394,0.3618253507526583
bedroom__15.png,0.4044839844939373,0.3703112043071587,0.3351971932612904
bedroom__150.png,0.4992173066387602,0.46604019551589027,0.4169800450118927
bedroom__151.png,0.30233622467937116,0.3460939891373457,0.3006346150727227
bedroom__152.png,0.35882770242638007,0.36594060700759856,0.36060257760919934
bedroom__153.png,0.35718362537708426,0.3259382751275123,0.3210215312311917
bedroom__154.png,0.338760332948173,0.30457371482253315,0.2416176758475821
bedroom__155.png,0.22702396751682696,0.2829397957892342,0.16797223470659062
bedroom__156.png,0.4253531064654401,0.37699775988673245,0.3387401042092608
bedroom__157.png,0.26004501825236326,0.31308167135094933,0.2737907518269802
bedroom__158.png,0.28129402886990573,0.301265723853136,0.21429120625177256
bedroom__159.png,0.28772278771238935,0.23066904219676954,0.20936050876948653
bedroom__16.png,0.33739333020692375,0.3149569794568947,0.2705783824851724
bedroom__160.png,0.3281923849060454,0.28292725694769416,0.25205089587052387
bedroom__161.png,0.2547923496964578,0.33534085017523585,0.24629888880794115
bedroom__162.png,0.3223524796341022,0.34867205434742754,0.3131076058230575
bedroom__163.png,0.3090800103405753,0.3669314917149541,0.25717471865353136
bedroom__164.png,0.3151003468251008,0.2917523262748769,0.24837996500633108
bedroom__165.png,0.41490645861196207,0.4059756555908467,0.36982613029220357
bedroom__166.png,0.2809734086318131,0.24251002245632625,0.1622040023897673
bedroom__167.png,0.40592916512411215,0.34860624111466854,0.29127785814947227
bedroom__168.png,0.4364469255565129,0.23743670521287563,0.22506980463612125
bedroom__169.png,0.3266027397493554,0.2755063942731919,0.17998946011946715
bedroom__17.png,0.3376021039509661,0.319151936740522,0.22961641698468926
bedroom__170.png,0.3575976823284258,0.39978440345416766,0.32093284666380306
bedroom__171.png,0.3437298674311069,0.32736504069232575,0.26511714674345366
bedroom__172.png,0.33720318289672835,0.28625491955110394,0.21442335260495382
bedroom__173.png,0.40122197190666364,0.38766063992606536,0.3357145362079733
bedroom__174.png,0.36150044728499564,0.3799380245652806,0.3321677322587162
bedroom__175.png,0.34373595873957963,0.3407037580988965,0.3128928734513178
bedroom__176.png,0.33072701452719055,0.30022886856093867,0.24273164097668276
bedroom__177.png,0.25260784763108346,0.21347326461844773,0.17019208245480044
bedroom__178.png,0.2739363389693332,0.309358147222219,0.2738466497449855
bedroom__179.png,0.5017007147170879,0.36566563086098525,0.3353804499922911
bedroom__18.png,0.4543709011119752,0.3173076216515994,0.25929970583981055
bedroom__180.png,0.3804500164176797,0.3803072928373944,0.3158593469513543
bedroom__181.png,0.29720505125076424,0.2508446249999001,0.22320286114729437
bedroom__182.png,0.3436686114727219,0.3072059993896906,0.3350635809702026
bedroom__183.png,0.36957691280233074,0.38854640783769634,0.3428144258691326
bedroom__184.png,0.3704732327503911,0.3738265238197821,0.31992834222812583
bedroom__185.png,0.3264022723278902,0.28354345677802684,0.2523259953018333
bedroom__186.png,0.34312234739170777,0.34967710541036345,0.28615535068580666
bedroom__187.png,0.3327537043423884,0.30066453206142707,0.2518099509767687
bedroom__188.png,0.4118784109101642,0.33034921028274455,0.2739660298176788
bedroom__189.png,0.3081206350603334,0.3519163505094274,0.26744748451023914
bedroom__19.png,0.3502929567417816,0.38174257990055904,0.3183068292534206
bedroom__190.png,0.225224345132494,0.36191862506405836,0.15995705654494108
bedroom__191.png,0.3302029350168112,0.3345544620662684,0.28428524460599824
bedroom__192.png,0.21590695766781942,0.3033726639140426,0.20694100679551009
bedroom__193.png,0.28396952040231127,0.3257659296492992,0.20486158880131633
bedroom__194.png,0.2917382429880818,0.29884077114317575,0.2619660441021725
bedroom__195.png,0.33552534355203056,0.3124288326075406,0.27666753131008726
bedroom__196.png,0.3504726900623665,0.2876021953919067,0.26260663805335616
bedroom__197.png,0.42563724524923097,0.41829549279377143,0.36889424438457774
bedroom__198.png,0.29329650041685873,0.33180298712303025,0.3216528076496259
bedroom__199.png,0.3620544242703524,0.227014729511261,0.21336904221798703
bedroom__2.png,0.24145931376979568,0.3101259130377416,0.19203138438102552
bedroom__20.png,0.3476868845623864,0.2677817832282068,0.23754547164242268
bedroom__200.png,0.29464457324750737,0.24157254977482523,0.18526814404748015
bedroom__201.png,0.34938245884038854,0.3561799754249845,0.2920515480492112
bedroom__202.png,0.31119794640081333,0.350678970878031,0.26540816230390263
bedroom__203.png,0.4575067513631098,0.3317713660422734,0.3188090668408271
bedroom__204.png,0.38382145953182845,0.29200098544665354,0.27580962065015036
bedroom__205.png,0.35822108390051444,0.41212676896338685,0.3424798808625541
bedroom__206.png,0.3411849363013767,0.347221180907078,0.2980601307347739
bedroom__207.png,0.38708140674042013,0.4074467962952495,0.355369693486252
bedroom__208.png,0.3768417859054868,0.2885329378291297,0.27057380212958715
bedroom__209.png,0.34683651142992244,0.30326217893567087,0.27373443317190516
bedroom__21.png,0.3665724185189213,0.3904754559400482,0.3634208008989408
bedroom__210.png,0.387266263256388,0.37629543850843705,0.30514113540799315
bedroom__211.png,0.2837184324812724,0.2893753068605799,0.16150355281558548
bedroom__212.png,0.4155801674270837,0.3615971336338597,0.3807376000533309
bedroom__213.png,0.3390564320855842,0.2828047777656423,0.2743975264785805
bedroom__214.png,0.3405274886709847,0.3714345853643183,0.2986197357569602
bedroom__215.png,0.48397790005212926,0.30611322875154334,0.2645051290980728
bedroom__216.png,0.45795528386956075,0.26733435752397194,0.2515569770924828
bedroom__217.png,0.44466530011463434,0.26396563736469947,0.2580318798523046
bedroom__218.png,0.3683586769296737,0.3517596301286936,0.33515375786377977
bedroom__219.png,0.3133870261978684,0.25666304804472906,0.1570336549615654
bedroom__22.png,0.3423270512054738,0.24912721874517652,0.2656581059391594
bedroom__220.png,0.2712807818873628,0.29076639626164746,0.3316167768300239
bedroom__221.png,0.42336082237454553,0.34326509402932237,0.3355524831496065
bedroom__222.png,0.43665479018016706,0.32441209380220626,0.30736816333868
bedroom__223.png,0.30311042137835265,0.2507930635799561,0.220791800215138
bedroom__224.png,0.324601405280147,0.30788855965964423,0.2755778439028518
bedroom__225.png,0.3685744345082601,0.3803881031977361,0.31739735953629655
bedroom__226.png,0.38435898688822123,0.29964051085463805,0.31129022806833406
bedroom__227.png,0.33466916915192546,0.3795295496702804,0.31060799137689943
bedroom__228.png,0.38371083130255834,0.3981155978231897,0.3683282648724877
bedroom__229.png,0.36751938309479504,0.25992723311012556,0.2623029095808098
bedroom__23.png,0.2736560400454333,0.2311788939797319,0.19288668453405156
bedroom__230.png,0.3069073553757936,0.3083995303175574,0.28490313944904955
bedroom__231.png,0.32044101466024344,0.36591642173996763,0.33739833679945985
bedroom__232.png,0.40599234044758425,0.3693130417470838,0.3864408437479784
bedroom__233.png,0.3021500673915366,0.2844781398460662,0.2973521137257309
bedroom__234.png,0.4161359528288142,0.37204035245844413,0.2999032636606085
bedroom__235.png,0.32365624558554795,0.4033887784254214,0.2409260372590447
bedroom__236.png,0.2956222753479232,0.35862945448168215,0.26573717089058835
bedroom__237.png,0.3606541324522805,0.3455843748363465,0.28946302842341953
bedroom__238.png,0.1712697136614747,0.22434429714545712,0.21249894172976147
bedroom__239.png,0.30918460621067667,0.27266227378905106,0.2862964735020085
bedroom__24.png,0.4067253590219658,0.42193273723454827,0.37660460463756285
bedroom__240.png,0.2851484713347189,0.3800657015259129,0.2503503117761028
bedroom__241.png,0.4469652181280047,0.3665657006271573,0.3504625497498767
bedroom__242.png,0.3143065850809419,0.35125368836044735,0.2458319495554271
bedroom__243.png,0.40536883818674996,0.31400949794229305,0.28594564521959653
bedroom__244.png,0.35604981730627816,0.4008054827920131,0.29951795970049266
bedroom__245.png,0.40653409328950607,0.35763443537393513,0.30967311939763265
bedroom__246.png,0.37965532005941693,0.330767711355634,0.29671165946537104
bedroom__247.png,0.2820225429916683,0.28572843900562284,0.2578477092861243
bedroom__248.png,0.35657431090953107,0.325492678272736,0.26469239848680715
bedroom__249.png,0.3671046110768946,0.40422916376694706,0.3355648918200651
bedroom__25.png,0.3392529092537583,0.3543117118018466,0.3083363807884755
bedroom__250.png,0.2870645068363805,0.2818485076149887,0.2746657661081815
bedroom__251.png,0.3307938213989037,0.34669381767584484,0.3069255776015929
bedroom__252.png,0.34204087399495264,0.2897206000024173,0.268818899916773
bedroom__253.png,0.3866545170015625,0.2912707335815423,0.23747759621581266
bedroom__254.png,0.3497519939895034,0.24700936153785547,0.22114068750339366
bedroom__255.png,0.3545256116593404,0.25415833216606887,0.2625364061124438
bedroom__256.png,0.4361786242233452,0.4094241994106905,0.37763707482121256
bedroom__257.png,0.3540974600386324,0.32701752565293696,0.2993787216660667
bedroom__258.png,0.2952856004232113,0.17294976203564305,0.18347349525641865
bedroom__259.png,0.3964958988226712,0.21386470377076539,0.20113676265473523
bedroom__26.png,0.3557296612759864,0.2814506171140734,0.21529411466724924
bedroom__260.png,0.3686819359377167,0.3345835041018761,0.30732120771501725
bedroom__261.png,0.35196841411646285,0.37043410958447187,0.24484209572620586
bedroom__262.png,0.3569374851461833,0.3292982920887245,0.27479866171050127
bedroom__263.png,0.3948723359628199,0.31791228042185316,0.2873923846915719
bedroom__264.png,0.35763609626485815,0.26846258598899386,0.1940726188556836
bedroom__265.png,0.30076865130212904,0.3076225091860951,0.2946315617969505
bedroom__266.png,0.3961634661793173,0.3255149226448709,0.3210638327560772
bedroom__267.png,0.3301056256897926,0.27136146552165075,0.23575531882607714
bedroom__268.png,0.4130644848830122,0.23740840133910035,0.18573721072463978
bedroom__269.png,0.26726552365861345,0.36953273776580453,0.23974465627931885
